23-6-2021 21:02:54 - Ch=3 size=106 tt=20:07:04.940 x=0 Q.f=65520 Q.v=70
23-6-2021 21:02:54 - Ch=3 size=112 tt=20:07:04.940 x=112 Q.f=65520 Q.v=70
23-6-2021 21:02:54 - Ch=3 size=126 tt=20:07:04.940 x=224 Q.f=65520 Q.v=72
23-6-2021 21:02:54 - Ch=3 size=130 tt=20:07:04.940 x=336 Q.f=65520 Q.v=74
23-6-2021 21:02:54 - Ch=3 size=110 tt=20:07:04.940 x=448 Q.f=65520 Q.v=76
23-6-2021 21:02:54 - Ch=3 size=124 tt=20:07:04.940 x=560 Q.f=65520 Q.v=78
23-6-2021 21:02:54 - Ch=3 size=142 tt=20:07:04.940 x=672 Q.f=65520 Q.v=80
23-6-2021 21:02:54 - Ch=3 size=164 tt=20:07:04.940 x=784 Q.f=65520 Q.v=82
23-6-2021 21:02:54 - Ch=3 size=242 tt=20:07:04.940 x=896 Q.f=65520 Q.v=84
23-6-2021 21:02:54 - Ch=3 size=380 tt=20:07:04.940 x=1008 Q.f=65520 Q.v=86
23-6-2021 21:02:54 - Ch=3 size=238 tt=20:07:04.940 x=1120 Q.f=65520 Q.v=88
23-6-2021 21:02:54 - Ch=3 size=280 tt=20:07:04.940 x=1232 Q.f=65520 Q.v=90
23-6-2021 21:02:54 - Ch=3 size=292 tt=20:07:04.940 x=1344 Q.f=65520 Q.v=92
23-6-2021 21:02:54 - Ch=3 size=408 tt=20:07:04.940 x=1456 Q.f=65520 Q.v=94
23-6-2021 21:02:54 -  count=14 step=1 time=72426172 y=784 y_last=784
23-6-2021 21:02:54 - Ch=3 size=186 tt=20:07:06.172 x=0 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=174 tt=20:07:06.172 x=112 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=212 tt=20:07:06.172 x=224 Q.f=65520 Q.v=87
